Cumulative sequencing depth,Fraction of target bases(%)
772,6.857363
773,6.756115
774,6.660264
775,6.567175
776,6.476206
777,6.386714
778,6.298958
779,6.205869
780,6.115606
781,6.030162
782,5.943048
783,5.851886
784,5.764579
785,5.671298
786,5.584119
787,5.498225
788,5.412203
789,5.324318
790,5.243178
791,5.161653
792,5.080963
793,4.995968
794,4.915279
795,4.839214
796,4.761993
797,4.682395
798,4.605817
799,4.529367
800,4.453881
801,4.380258
802,4.308369
803,4.230956
804,4.155341
805,4.084802
806,4.018567
807,3.949440
808,3.881278
809,3.814850
810,3.745210
811,3.676919
812,3.610941
813,3.546504
814,3.482389
815,3.421743
816,3.358528
817,3.295890
818,3.235244
819,3.173442
820,3.114338
821,3.055233
822,2.997029
823,2.940430
824,2.880363
825,2.823699
826,2.768514
827,2.715321
828,2.659300
829,2.606684
830,2.554776
831,2.502032
832,2.453721
833,2.402840
834,2.350545
835,2.301849
836,2.257585
837,2.210623
838,2.161926
839,2.117277
840,2.074234
841,2.030676
842,1.988276
843,1.945875
844,1.904952
845,1.866020
846,1.827795
847,1.788285
848,1.748390
849,1.709522
850,1.670591
851,1.633073
852,1.597867
853,1.562854
854,1.527970
855,1.496683
856,1.460450
857,1.428521
858,1.393829
859,1.360615
860,1.329779
861,1.300548
862,1.270096
863,1.240608
864,1.213562
865,1.186515
866,1.161075
867,1.134671
868,1.109102
869,1.082376
870,1.057450
871,1.034322
872,1.012672
873,0.989673
874,0.969051
875,0.944317
876,0.922988
877,0.902237
878,0.881294
879,0.861378
880,0.842555
881,0.821290
882,0.801825
883,0.782166
884,0.764178
885,0.745162
886,0.729615
887,0.714325
888,0.696593
889,0.679890
890,0.664343
891,0.648861
892,0.634663
893,0.620015
894,0.606203
895,0.591555
896,0.578642
897,0.565729
898,0.553973
899,0.541638
900,0.529367
901,0.518767
902,0.508488
903,0.497631
904,0.487224
905,0.477202
906,0.466601
907,0.456387
908,0.447007
909,0.437499
910,0.428633
911,0.420924
912,0.412059
913,0.404927
914,0.396640
915,0.388096
916,0.380708
917,0.372870
918,0.366510
919,0.359122
920,0.351413
921,0.343639
922,0.337793
923,0.332461
924,0.325779
925,0.319997
926,0.314087
927,0.307984
928,0.302459
929,0.298283
930,0.293015
931,0.288390
932,0.284728
933,0.281066
934,0.276954
935,0.273614
936,0.268795
937,0.266097
938,0.262307
939,0.258259
940,0.255047
941,0.251385
942,0.248237
943,0.245282
944,0.242841
945,0.239372
946,0.236545
947,0.233333
948,0.230121
949,0.227230
950,0.224788
951,0.222283
952,0.219328
953,0.217465
954,0.215473
955,0.213546
956,0.211361
957,0.208984
958,0.207378
959,0.205644
960,0.203909
961,0.202046
962,0.200183
963,0.198192
964,0.196521
965,0.195172
966,0.193502
967,0.192153
968,0.190547
969,0.189005
970,0.187784
971,0.186628
972,0.184765
973,0.183223
974,0.182066
975,0.181167
976,0.180589
977,0.179432
978,0.177698
979,0.176541
980,0.174614
981,0.173907
982,0.173137
983,0.172301
984,0.171402
985,0.170438
986,0.169410
987,0.168575
988,0.167869
989,0.167226
990,0.166455
991,0.165684
992,0.164528
993,0.163885
994,0.163115
995,0.162408
996,0.161573
997,0.160352
998,0.159902
999,0.159067
1000,0.158104
1001,0.157590
1002,0.156883
1003,0.156176
1004,0.155727
1005,0.154956
1006,0.154634
1007,0.153799
1008,0.152707
1009,0.151679
1010,0.150908
1011,0.150330
1012,0.149752
1013,0.149045
1014,0.148403
1015,0.148082
1016,0.147375
1017,0.146925
1018,0.146475
1019,0.145961
1020,0.145383
1021,0.144677
1022,0.143906
1023,0.143456
1024,0.142685
1025,0.142107
1026,0.141786
1027,0.141336
1028,0.140694
1029,0.139987
1030,0.139537
1031,0.139023
1032,0.138702
1033,0.137995
1034,0.137546
1035,0.137160
1036,0.136710
1037,0.136389
1038,0.135875
1039,0.135490
1040,0.135040
1041,0.134719
1042,0.134269
1043,0.133755
1044,0.133434
1045,0.132856
1046,0.132470
1047,0.132021
1048,0.131699
1049,0.131571
1050,0.131378
1051,0.130864
1052,0.130607
1053,0.130415
1054,0.130093
1055,0.129644
1056,0.129065
1057,0.128551
1058,0.128230
1059,0.127973
1060,0.127716
1061,0.127524
1062,0.127202
1063,0.126945
1064,0.126560
1065,0.126110
1066,0.125725
1067,0.125661
1068,0.125275
1069,0.124761
1070,0.124504
1071,0.124311
1072,0.123733
1073,0.123733
1074,0.123540
1075,0.122962
1076,0.122705
1077,0.122320
1078,0.122063
1079,0.121806
1080,0.121292
1081,0.120906
1082,0.120650
1083,0.120264
1084,0.119943
1085,0.119686
1086,0.119365
1087,0.119300
1088,0.119236
1089,0.118915
1090,0.118722
1091,0.118594
1092,0.118272
1093,0.118080
1094,0.117694
1095,0.117502
1096,0.117180
1097,0.116859
1098,0.116538
1099,0.116345
1100,0.116088
1101,0.115767
1102,0.115703
1103,0.115510
1104,0.115317
1105,0.115060
1106,0.114868
1107,0.114482
1108,0.114289
1109,0.113968
1110,0.113775
1111,0.113518
1112,0.113133
1113,0.113005
1114,0.112748
1115,0.112426
1116,0.112169
1117,0.111591
1118,0.111270
1119,0.111013
1120,0.110820
1121,0.110820
1122,0.110435
1123,0.110178
1124,0.109857
1125,0.109664
1126,0.109535
1127,0.109278
1128,0.108893
1129,0.108893
1130,0.108700
1131,0.108572
1132,0.108250
1133,0.107994
1134,0.107737
1135,0.107351
1136,0.107223
1137,0.106901
1138,0.106387
1139,0.106130
1140,0.105552
1141,0.105360
1142,0.105038
1143,0.104781
1144,0.104653
1145,0.104332
1146,0.104010
1147,0.103561
1148,0.103368
1149,0.103111
1150,0.102854
1151,0.102533
1152,0.102212
1153,0.102212
1154,0.101698
1155,0.101505
1156,0.101184
1157,0.100734
1158,0.100413
1159,0.100220
1160,0.099899
1161,0.099706
1162,0.099385
1163,0.098935
1164,0.098485
1165,0.098228
1166,0.098100
1167,0.097907
1168,0.097650
1169,0.097136
1170,0.096944
1171,0.096430
1172,0.096044
1173,0.095787
1174,0.095338
1175,0.095016
1176,0.094438
1177,0.094181
1178,0.093924
1179,0.093603
