Sequencing depth,Fraction of target bases(%),Number of target bases
935,0.004818,75
936,0.002698,42
937,0.003790,59
938,0.004047,63
939,0.003212,50
940,0.003662,57
941,0.003148,49
942,0.002955,46
943,0.002441,38
944,0.003469,54
945,0.002827,44
946,0.003212,50
947,0.003212,50
948,0.002891,45
949,0.002441,38
950,0.002506,39
951,0.002955,46
952,0.001863,29
953,0.001992,31
954,0.001927,30
955,0.002184,34
956,0.002377,37
957,0.001606,25
958,0.001735,27
959,0.001735,27
960,0.203909,3174
