Sequencing depth,Fraction of target bases(%),Number of target bases
760,0.006424,100
761,0.007709,120
762,0.007260,113
763,0.005782,90
764,0.006103,95
765,0.005653,88
766,0.005846,91
767,0.006167,96
768,0.005653,88
769,0.006167,96
770,0.005718,89
771,0.005396,84
772,0.006681,104
773,0.005589,87
774,0.005461,85
775,0.006874,107
776,0.006424,100
777,0.006617,103
778,0.006938,108
779,0.007003,109
780,0.006617,103
781,0.007260,113
782,0.006553,102
783,0.005589,87
784,0.006167,96
785,0.007581,118
786,0.005653,88
787,0.006489,101
788,0.006360,99
789,0.006489,101
790,0.007131,111
791,0.007773,121
792,0.006617,103
793,0.006103,95
794,0.006489,101
795,0.007195,112
796,0.007838,122
797,0.006489,101
798,0.006360,99
799,0.007324,114
800,0.007260,113
801,0.007260,113
802,0.008930,139
803,0.007581,118
804,0.007773,121
805,0.007902,123
806,0.007067,110
807,0.007838,122
808,0.007131,111
809,0.006746,105
810,0.008866,138
811,0.008223,128
812,0.009187,143
813,0.006681,104
814,0.008223,128
815,0.007452,116
816,0.006617,103
817,0.005846,91
818,0.007324,114
819,0.007388,115
820,0.007902,123
821,0.007645,119
822,0.007517,117
823,0.008223,128
824,0.007709,120
825,0.008352,130
826,0.006810,106
827,0.007773,121
828,0.008095,126
829,0.009187,143
830,0.008480,132
831,0.007773,121
832,0.007452,116
833,0.007966,124
834,0.009251,144
835,0.009572,149
836,0.008673,135
837,0.008095,126
838,0.007966,124
839,0.007902,123
840,0.008994,140
841,0.008866,138
842,0.010407,162
843,0.007966,124
844,0.007324,114
845,0.007067,110
846,0.009572,149
847,0.009187,143
848,0.007966,124
849,0.008159,127
850,0.008416,131
851,0.008737,136
852,0.008416,131
853,0.009251,144
854,0.007709,120
855,0.008737,136
856,0.008609,134
857,0.007003,109
858,0.008480,132
859,0.008609,134
860,0.007966,124
861,0.008930,139
862,0.008159,127
863,0.008609,134
864,0.008994,140
865,0.009123,142
866,0.008673,135
867,0.009637,150
868,0.008480,132
869,0.008994,140
870,0.008994,140
871,0.008737,136
872,0.010472,163
873,0.009829,153
874,0.008801,137
875,0.008737,136
876,0.008801,137
877,0.008801,137
878,0.009123,142
879,0.008480,132
880,0.008480,132
881,0.008801,137
882,0.009187,143
883,0.008930,139
884,0.011050,172
885,0.008737,136
886,0.010600,165
887,0.009765,152
888,0.008673,135
889,0.011243,175
890,0.010986,171
891,0.009315,145
892,0.010857,169
893,0.009765,152
894,0.010343,161
895,0.010086,157
896,0.009123,142
897,0.010664,166
898,0.010279,160
899,0.009701,151
900,0.010343,161
901,0.009508,148
902,0.009444,147
903,0.008609,134
904,0.009572,149
905,0.011178,174
906,0.008994,140
907,0.010407,162
908,0.009958,155
909,0.010215,159
910,0.011050,172
911,0.007966,124
912,0.010664,166
913,0.009444,147
914,0.011050,172
915,0.010536,164
916,0.008416,131
917,0.010086,157
918,0.009251,144
919,0.009958,155
920,0.010150,158
921,0.009829,153
922,0.010921,170
923,0.010472,163
924,0.009315,145
925,0.008930,139
926,0.008609,134
927,0.010407,162
928,0.011050,172
929,0.010729,167
930,0.010664,166
931,0.010343,161
932,0.009637,150
933,0.009701,151
934,0.010086,157
935,0.009958,155
936,0.011307,176
937,0.010215,159
938,0.011114,173
939,0.009572,149
940,0.010472,163
941,0.011821,184
942,0.009701,151
943,0.010729,167
944,0.011050,172
945,0.009380,146
946,0.010215,159
947,0.009894,154
948,0.010600,165
949,0.012913,201
950,0.011114,173
951,0.011371,177
952,0.010600,165
953,0.010729,167
954,0.011307,176
955,0.012142,189
956,0.010857,169
957,0.010793,168
958,0.011885,185
959,0.012528,195
960,0.010407,162
961,0.010729,167
962,0.011243,175
963,0.010086,157
964,0.011243,175
965,0.011371,177
966,0.011178,174
967,0.011435,178
968,0.010472,163
969,0.012399,193
970,0.012399,193
971,0.012720,198
972,0.010664,166
973,0.012335,192
