Cumulative sequencing depth,Fraction of target bases(%)
1138,93.743637
1139,93.726936
1140,93.708298
1141,93.691277
1142,93.674126
1143,93.656456
1144,93.639175
1145,93.620613
1146,93.603844
1147,93.585854
1148,93.567291
1149,93.548851
1150,93.529510
1151,93.511520
1152,93.494949
1153,93.476120
1154,93.456467
1155,93.438606
1156,93.420753
1157,93.401604
1158,93.383423
1159,93.365372
1160,93.346420
1161,93.327019
1162,93.308128
1163,93.287636
1164,93.268166
1165,93.248642
1166,93.230453
1167,93.211952
1168,93.192299
1169,93.173668
1170,93.154198
1171,93.135826
1172,93.118736
1173,93.100494
1174,93.080452
1175,93.059311
1176,93.041901
1177,93.023399
1178,93.002777
1179,92.982086
1180,92.964165
1181,92.943802
1182,92.924339
1183,92.904549
1184,92.883736
1185,92.862663
1186,92.843262
1187,92.824242
1188,92.803238
1189,92.784096
1190,92.763283
1191,92.743362
1192,92.722870
1193,92.704369
1194,92.683098
1195,92.661774
1196,92.641281
1197,92.620850
1198,92.599396
1199,92.578445
1200,92.556412
1201,92.534637
1202,92.515106
1203,92.496094
1204,92.475143
1205,92.453560
1206,92.432808
1207,92.411674
1208,92.391182
1209,92.372360
1210,92.348137
1211,92.325394
1212,92.304962
1213,92.282738
1214,92.262627
1215,92.242065
1216,92.222092
1217,92.201530
1218,92.181618
1219,92.162285
1220,92.141403
1221,92.118790
1222,92.098167
1223,92.074394
1224,92.051971
1225,92.030510
1226,92.008675
1227,91.986252
1228,91.964470
1229,91.942757
1230,91.918861
1231,91.895927
1232,91.874405
1233,91.849541
1234,91.828918
1235,91.805405
1236,91.783821
1237,91.758827
1238,91.736214
1239,91.712189
1240,91.688354
1241,91.665871
1242,91.642036
1243,91.620132
1244,91.597260
1245,91.574768
1246,91.552475
1247,91.528328
1248,91.505066
1249,91.479111
1250,91.455795
1251,91.431122
1252,91.407677
1253,91.384033
1254,91.359238
1255,91.336174
1256,91.311630
1257,91.287277
1258,91.262093
1259,91.235756
1260,91.210449
1261,91.185257
1262,91.157509
1263,91.135536
1264,91.108620
1265,91.081192
1266,91.054787
1267,91.028252
1268,91.004028
1269,90.978653
1270,90.953407
1271,90.927902
1272,90.900726
1273,90.874580
1274,90.850105
1275,90.823380
1276,90.798447
1277,90.772888
1278,90.747246
1279,90.720909
1280,90.694313
1281,90.668877
1282,90.640602
1283,90.615555
1284,90.588440
1285,90.561455
1286,90.534607
1287,90.506401
1288,90.476845
1289,90.451988
1290,90.426353
1291,90.400589
1292,90.375084
1293,90.348618
1294,90.322342
1295,90.294075
1296,90.265869
1297,90.237793
1298,90.210114
1299,90.184669
1300,90.157043
1301,90.130898
1302,90.104691
1303,90.078087
1304,90.049629
1305,90.021233
1306,89.994316
1307,89.968552
1308,89.940865
1309,89.913628
1310,89.888763
1311,89.862747
1312,89.837822
1313,89.810005
1314,89.779549
1315,89.753082
1316,89.723137
1317,89.695129
1318,89.667122
1319,89.638084
1320,89.611359
1321,89.584251
1322,89.555977
1323,89.525917
1324,89.498230
1325,89.469315
1326,89.442139
1327,89.414322
1328,89.386436
1329,89.358559
1330,89.330612
1331,89.301506
1332,89.271698
1333,89.241119
1334,89.214272
1335,89.187157
1336,89.158180
1337,89.130493
1338,89.102036
1339,89.073387
1340,89.042221
1341,89.011642
1342,88.981834
1343,88.953697
1344,88.924591
1345,88.895943
1346,88.867416
1347,88.839218
1348,88.812164
1349,88.786789
1350,88.756409
1351,88.729294
1352,88.701157
1353,88.672241
1354,88.641922
1355,88.612816
1356,88.581917
1357,88.550697
1358,88.524162
1359,88.492813
1360,88.462486
1361,88.432297
1362,88.403198
1363,88.373833
1364,88.342415
1365,88.313828
1366,88.284470
1367,88.253960
1368,88.224854
1369,88.194977
1370,88.165108
1371,88.134140
1372,88.101891
1373,88.072144
1374,88.038864
1375,88.008606
1376,87.978157
1377,87.946548
1378,87.918213
1379,87.885651
1380,87.855133
1381,87.822433
1382,87.790756
1383,87.760178
1384,87.729530
1385,87.697609
1386,87.669083
1387,87.639984
1388,87.609467
1389,87.578690
1390,87.548950
1391,87.516823
1392,87.484894
1393,87.453415
1394,87.423157
1395,87.391487
1396,87.360588
1397,87.328522
1398,87.298073
1399,87.266983
1400,87.233124
1401,87.200806
1402,87.170746
1403,87.137787
1404,87.106880
1405,87.076630
1406,87.044121
1407,87.013664
1408,86.981804
1409,86.950386
1410,86.921989
1411,86.888649
1412,86.858002
1413,86.825111
1414,86.791000
1415,86.759453
1416,86.727844
1417,86.698814
1418,86.667976
1419,86.636559
1420,86.604630
1421,86.571991
1422,86.539932
1423,86.507881
1424,86.476204
1425,86.444145
1426,86.411644
1427,86.379967
1428,86.347458
1429,86.314697
1430,86.281876
1431,86.251678
1432,86.218979
1433,86.184219
1434,86.151840
1435,86.121002
1436,86.090874
1437,86.057465
1438,86.023613
1439,85.990974
1440,85.960785
1441,85.925766
1442,85.893517
1443,85.860756
1444,85.829208
1445,85.797028
1446,85.765350
1447,85.732719
1448,85.700211
1449,85.669624
1450,85.635773
1451,85.603203
1452,85.569855
1453,85.534843
1454,85.501503
1455,85.469574
1456,85.436806
1457,85.404045
1458,85.370056
1459,85.336014
1460,85.301384
1461,85.268105
1462,85.234825
1463,85.198723
1464,85.166153
1465,85.130104
1466,85.099274
1467,85.067856
1468,85.035477
1469,85.000465
1470,84.965256
1471,84.931656
1472,84.897873
1473,84.862663
1474,84.829453
1475,84.796616
1476,84.762375
1477,84.729355
1478,84.696915
1479,84.663124
1480,84.626244
1481,84.594635
1482,84.558983
1483,84.523842
1484,84.487160
1485,84.453430
1486,84.418739
1487,84.386360
1488,84.351280
1489,84.318771
1490,84.285431
1491,84.250488
1492,84.216698
1493,84.179367
1494,84.146027
1495,84.113708
1496,84.078308
1497,84.044456
1498,84.010345
1499,83.976227
1500,83.941154
1501,83.907814
1502,83.876266
1503,83.841125
1504,83.808617
1505,83.772835
1506,83.740707
1507,83.706924
1508,83.673645
1509,83.639595
1510,83.604904
1511,83.570015
1512,83.533783
1513,83.498512
1514,83.461960
1515,83.429512
1516,83.393410
1517,83.360069
1518,83.325127
1519,83.288116
1520,83.255737
1521,83.220528
1522,83.184616
1523,83.150383
1524,83.114151
1525,83.080803
1526,83.044502
1527,83.011482
1528,82.975510
1529,82.939270
1530,82.904198
1531,82.870529
1532,82.833138
1533,82.799095
1534,82.764786
1535,82.730934
1536,82.692642
1537,82.656860
1538,82.618248
1539,82.585098
1540,82.549126
1541,82.518539
1542,82.482758
1543,82.448318
1544,82.413307
1545,82.376823
1546,82.339302
1547,82.304932
1548,82.270050
1549,82.233429
1550,82.197258
1551,82.160835
1552,82.125565
1553,82.089462
1554,82.052902
1555,82.018150
1556,81.981979
1557,81.944397
1558,81.907585
1559,81.869492
1560,81.835243
1561,81.801582
1562,81.766060
1563,81.727638
1564,81.692436
1565,81.653633
1566,81.616173
1567,81.577950
1568,81.544350
1569,81.505226
1570,81.469315
1571,81.432114
1572,81.397102
1573,81.359909
1574,81.321747
1575,81.283775
1576,81.247673
1577,81.208298
1578,81.173409
1579,81.134415
1580,81.101074
1581,81.062012
1582,81.020699
1583,80.983765
1584,80.941940
1585,80.905258
1586,80.868568
1587,80.832016
1588,80.795273
1589,80.756721
1590,80.716637
1591,80.680275
1592,80.644234
1593,80.608452
1594,80.571770
1595,80.534317
1596,80.496216
1597,80.459213
1598,80.421112
1599,80.383598
1600,80.346855
1601,80.308624
1602,80.270020
